timestamp_created,voted_up,written_during_early_access,votes_up
1780407021,0,1,0
1780400954,0,1,0
1780394027,0,1,0
1780387679,0,1,0
1780367054,0,1,1
1780341404,0,1,0
1780321479,0,1,1
1780278125,0,1,0
1780238697,0,1,1
1780217901,0,1,2
1779785264,0,1,0
1779703497,0,1,1
1779674781,0,1,0
1779637724,0,1,1
1779482794,0,1,0
1779369310,0,1,1
1779283644,0,1,0
1779275515,0,1,2
1779231649,1,1,0
1779113728,0,1,5
1779072956,0,1,1
1778894482,0,1,0
1778750933,0,1,10
1778604615,1,1,7
1778351663,0,1,3
1778342726,0,1,0
1778327641,0,1,1
1778159977,0,1,0
1777937547,0,1,2
1777867038,0,1,0
1777818069,0,1,0
1777779012,1,1,0
1777612479,0,1,7
1777568367,1,1,0
1777553585,0,1,4
1777476487,0,1,1
1777462717,1,1,0
1777402213,0,1,0
1777390986,1,1,1
1777332739,0,1,1
1777102767,0,1,0
1776863045,0,1,8
1776628292,0,1,1
1776575609,0,1,2
1776436492,0,1,0
1776429448,0,1,1
1776362730,0,1,13
1776340979,0,1,0
1776276512,0,1,1
1776232640,0,1,0
1776136900,0,1,16
1776122981,0,1,5
1776016462,0,1,1
1776011794,0,1,0
1775988800,1,1,0
1775932425,0,1,1
1775923702,0,1,2
1775917291,0,1,1
1775895343,1,1,0
1775887030,0,1,1
1775854408,0,1,1
1775735364,0,1,2
1775556185,0,1,1
1775401480,0,1,24
1775384194,0,1,2
1775307200,0,1,2
1775202460,0,1,2
1775195973,0,1,1
1774873075,0,1,3
1774851569,0,1,4
1774792697,0,1,0
1774729701,0,1,0
1774603970,0,1,1
1774554684,0,1,10
1774454570,0,1,3
1774444836,0,1,0
1774428681,0,1,6
1774267242,0,1,0
1774202522,0,1,7
1774150158,0,1,0
1774059921,0,1,0
1774027117,0,1,1
1774004573,1,1,0
1773890491,0,1,27
1773826623,0,1,0
1773586375,0,1,10
1773401293,1,1,3
1773220199,0,1,2
1773217063,0,1,1
1773158588,0,1,0
1773096576,1,1,2
1773075234,0,1,0
1773015999,0,1,3
1772360370,0,1,9
1772279370,0,1,3
1772203438,0,1,4
1772049016,1,1,2
1771999920,0,1,1
1771651780,0,1,0
1771640398,1,1,10
1771608165,0,1,19
1771472175,0,1,0
1771432107,1,1,1
1771431536,0,1,7
1771418940,0,1,1
1771274726,1,1,0
1771227516,1,1,0
1771166827,0,1,16
1771163519,0,1,2
1771141763,0,1,1
1771042079,1,1,1
1770990132,0,1,0
1770985382,0,1,2
1770886011,0,1,0
1770808624,1,1,8
1770806143,0,1,3
1770621980,0,1,3
1770461816,0,1,1
1770301472,0,1,3
1770221380,0,1,2
1770132236,0,1,5
1770127592,0,1,7
1770029795,0,1,6
1769867564,0,1,0
1769725993,1,1,6
1769695898,0,1,2
1769511330,1,1,2
1769349809,0,1,4
1769323315,0,1,18
1769315944,0,1,5
1769234894,0,1,2
1769075190,0,1,1
1768921908,1,1,7
1768915960,0,1,16
1768839767,0,1,2
1768830425,0,1,0
1768760510,0,1,40
1768489814,0,1,2
1768442014,0,1,3
1768312047,0,1,7
1768106052,0,1,24
