covariate,tau,p
log_price,4.732115120826014,0.0008614317143202999
log_total_reviews,1.2080978273127698,0.02513291162386077
months_since_release,-2.5326534814703265,0.6257127656697652
has_multiplayer,0.14247310400018764,0.23901231498323516
plat_mac_i,0.19801075386076222,0.17133419226240432
dlc_count_f,2.551293826318319,0.5111210323393557
achievements_f,1.0859758699510849,0.9819399722009186
langs_f,0.77280707800392,0.775955027352231
