cutoff,cutoff_role,outcome,outcome_label,spec,tau,tau_bc,se,p,ci_lo,ci_hi,h,n_left,n_right
0.4,treatment,y_peak,peak CCU (primary),raw,0.72809822335802,0.9732055266003479,0.5811695830239008,0.09401985316528211,-0.1658659250366583,2.112276978237354,0.04479777777051002,54,68
0.4,treatment,y_peak,peak CCU (primary),adjusted,0.9641305963930651,1.1320098165269503,0.5213928265247364,0.02992160644922734,0.11009865474092684,2.153920978312974,0.05027965662014308,58,72
0.4,treatment,y_live,live CCU,raw,0.5646516170063647,0.7642050232455652,0.48204327136897435,0.11288790732567788,-0.18058242762749233,1.7089924741186227,0.04475304255120928,54,68
0.4,treatment,y_live,live CCU,adjusted,0.8091183593707257,0.9906270966000412,0.4757037766789238,0.03730181382626909,0.05826482699966573,1.9229893662004167,0.0441931206656372,54,68
0.4,treatment,y_owners,owners,raw,0.46282799592788315,0.5219508545264304,0.3964801732527426,0.18801921694047785,-0.25513600563314587,1.2990377146860066,0.052790946645168216,61,75
0.4,treatment,y_owners,owners,adjusted,0.6950984332623998,0.7768699340935941,0.3522993142201328,0.027444147630396706,0.08637596644397405,1.467363901743214,0.05177273415087089,60,75
0.7,falsification,y_peak,peak CCU (primary),raw,1.9774302210152843,2.244348490517816,1.0128038214312707,0.026693177677958306,0.25928947710798944,4.229407503927643,0.03970091815598935,70,86
0.7,falsification,y_peak,peak CCU (primary),adjusted,1.6012427049726778,1.7958772930991111,0.9632153558772297,0.062257018610715524,-0.09199011377619026,3.6837446999744126,0.04254377091199091,75,92
0.7,falsification,y_live,live CCU,raw,2.2013666133448044,2.485996968071653,1.0984401048819858,0.02362295247391238,0.33309392332856147,4.638900012814744,0.03843283472649342,68,79
0.7,falsification,y_live,live CCU,adjusted,1.583662093348678,1.7582860425783178,0.9661378514712131,0.06877237990285058,-0.13530935040616798,3.6518814355628035,0.041790278025556744,74,92
0.7,falsification,y_owners,owners,raw,0.6250335136857164,0.7312374044046788,0.47928091093552216,0.12708536464629971,-0.20813591950649402,1.6706107283158516,0.03677561189715223,65,73
0.7,falsification,y_owners,owners,adjusted,0.956179968036053,1.0917524073181575,0.4651601792212362,0.01892291085974041,0.18005520900233773,2.0034496056339774,0.03549024483687595,62,72
