cohort,n,tau,tau_bc,se,p,ci_lo,ci_hi,h,n_left,n_right
pre_covid,453,0.08606090031866087,0.1893410650252887,1.0203578041337122,0.8527871562824079,-1.810523482421162,2.1892056124717394,0.05232566990411515,20,33
covid,324,1.8435066487259246,2.155791437779338,0.5428674983025028,7.153583313771601e-05,1.0917906927290735,3.219792182829602,0.04781216959261384,11,18
post_covid,422,0.9391623517368379,0.9676361386995915,0.4246216673537079,0.022677796821849082,0.13539296363097686,1.7998793137682063,0.06958091344112666,32,33
