h_mult,h,tau,tau_bc,se,p,ci_lo,ci_hi,n_left,n_right
0.5,0.02513982831007154,1.018504314348432,0.8553999513141171,0.7636771775698737,0.2626682801788105,-0.641379812538035,2.352179715166269,33,37
0.75,0.03770974246510731,1.0779081621075384,0.9132675015484784,0.5728123853870222,0.11085607217281045,-0.20942414370856266,2.0359591468055194,48,55
1.0,0.05027965662014308,0.9641305963930651,1.1624285014590523,0.528304804413927,0.027785692409005688,0.126970111948278,2.1978868909698264,58,72
1.25,0.06284957077517886,0.7708316190720024,1.2428396150385717,0.5250474936329563,0.017928116301235437,0.213765437344954,2.2719137927321893,68,89
1.5,0.07541948493021462,0.5470789748804058,1.2062914736581294,0.5214425586267704,0.020702104689111663,0.1842828387432438,2.228300108573015,76,121
