h_mult,h,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,n_left,n_right
0.5,0.0220965603328186,0.8413485871172122,1.1707788764697975,0.8972528376311755,0.1919444947273813,-0.5878043703136713,2.9293621232532665,24,32
0.75,0.033144840499227904,0.8337145574965448,0.9733844462340008,0.649036543402209,0.13368241137631337,-0.2987038034846964,2.245472695952698,44,46
1.0,0.0441931206656372,0.8091183593707256,1.0098780603264057,0.5579136405853556,0.07028067575907614,-0.08361258170451547,2.1033687023573266,54,68
1.25,0.0552414008320465,0.7087381834464725,0.9731530184505761,0.5307089605336425,0.06670077820817275,-0.06701743046805198,2.0133234673692044,62,79
1.5,0.06628968099845581,0.5727045779279711,0.9740484157943116,0.5004179074627666,0.05159831504100253,-0.006752660051608461,1.9548494916402315,70,96
