outcome,cutoff,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,h,n_left,n_right
y_log_ccu,0.4,0.8091183593707257,0.9906270966000412,0.4757037766789238,0.03730181382626909,0.05826482699966573,1.9229893662004167,0.0441931206656372,54,68
y_log_owners,0.4,0.6950984332623998,0.7768699340935941,0.3522993142201328,0.027444147630396706,0.08637596644397405,1.467363901743214,0.05177273415087089,60,75
y_log_ccu,0.7,1.583662093348678,1.7582860425783178,0.9661378514712131,0.06877237990285058,-0.13530935040616798,3.6518814355628035,0.041790278025556744,74,92
y_log_owners,0.7,0.956179968036053,1.0917524073181575,0.4651601792212362,0.01892291085974041,0.18005520900233773,2.0034496056339774,0.03549024483687595,62,72
