cutoff,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,h,n_left,n_right
0.3,-0.4607587316705317,-0.9004985325673889,0.5969531227535502,0.13142885720560463,-2.070505153623065,0.2695080884882872,0.02555119117199613,10,14
0.35,0.0076951293592757986,0.035798479133227534,0.3456359600738955,0.9175083855559242,-0.6416355543735318,0.7132325126399869,0.05012122073589384,32,59
0.45,0.5650458137792238,0.6876820707331931,0.5155671768384563,0.18225760364477073,-0.3228110274811745,1.6981751689475608,0.06693916379082118,91,172
0.5,-1.111955842364944,-1.1886577229956918,0.41309993044605753,0.00400954720979691,-1.998318708685966,-0.3789967373054177,0.09456856347445304,188,219
