cohort,n,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,h,n_left,n_right
pre_covid,453,0.7395033424248233,0.6740817742927003,0.587197543821336,0.25098333208770796,-0.4768042634074985,1.8249678119928991,0.03511535360576698,17,22
covid,324,-0.05697829526765846,0.1377247236360054,0.7639613251523909,0.856935041489228,-1.3596119592441744,1.6350614065161855,0.05144720347140601,31,31
post_covid,422,1.3666563988311937,1.515526481247474,0.6660740231306749,0.02288719637119858,0.21004538487365232,2.8210075776212955,0.03849080791500813,26,33
