genre,n,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,h,n_left,n_right
Action,689,0.7037863839374912,0.5980344440948466,0.9118167331274025,0.5119069230360183,-1.1890935133358322,2.3851624015255255,0.0544742172684321,65,75
Adventure,493,1.6623758378636806,1.8410636079098588,1.6648917486564394,0.2688062530435785,-1.4220642576146745,5.104191473434392,0.05066107742516199,38,45
Casual,229,1.6865855100741196,2.1970949487235503,2.0585597586641655,0.28583767790604075,-1.8376080382816795,6.23179793572878,0.05354379230541461,7,18
Early Access,149,4.195837217534504,4.005246736685933,1.7697640274527773,0.023626260445602447,0.5365729817439342,7.473920491627933,0.037623941008908646,6,6
Free To Play,285,0.9174613775951198,1.156353885021935,1.9587911099012023,0.5549623368812179,-2.68280614362166,4.99551391366553,0.04304592247442338,26,20
Indie,525,1.1018035999489904,1.2276705089955757,1.8679917212961588,0.511043256762796,-2.4335259881638778,4.88886700615503,0.050082718819207214,25,40
Massively Multiplayer,214,1.7054902175350455,1.4709449830642554,1.9374170096517123,0.4477150241456195,-2.326322578888391,5.268212545016902,0.0556173423507249,28,27
RPG,394,1.0043381790120185,1.1112147190851864,1.4061143032182777,0.42936812293204496,-1.6447186733692707,3.8671481115396436,0.045859314076133674,35,32
Racing,48,-2.3439997976206226,-2.941928025013919,5.183443629607903,0.5703321026998659,-13.101290854938984,7.2174348049111465,0.027994639041708253,3,2
Simulation,342,1.4070956539926918,1.554393010668239,1.465746710692686,0.28892692342951365,-1.3184177527474759,4.427203774083954,0.04960437150216856,18,27
Sports,77,1.612614597965172,1.6626206857398316,2.700813055854487,0.5381585100828322,-3.630875632710528,6.956117004190191,0.04451096920546546,2,9
Strategy,350,3.333617489549318,3.6838690618140637,2.0676651573132467,0.0748052651151926,-0.368680178608245,7.736418302236372,0.039429547103585164,15,27
