cutoff,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,h,n_left,n_right
0.3,-0.358304816887754,-0.621617735175117,0.432002466711111,0.1501727010856651,-1.468327011161358,0.22509154081112415,0.017016416832765575,5,5
0.35,0.5848478657819285,0.6241477647265826,0.4646474547376391,0.17918402040876258,-0.28654451206739484,1.53484004152056,0.042192639566890434,30,51
0.45,0.175897102281372,0.2996185701341679,0.6280705074105234,0.6333293128948358,-0.931377004142255,1.530614144410591,0.07366182393129411,99,194
0.5,-1.1408338169262395,-1.2649844792332183,0.4426324652936423,0.004264998323238587,-2.1325281695969327,-0.39744078886950396,0.09412243880917422,186,219
