cohort,n,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,h,n_left,n_right
pre_covid,453,0.477710844215556,0.5807879322069713,0.3559041211924343,0.10270766013237152,-0.11677132727957851,1.2783471916935212,0.05331281895657166,21,33
covid,324,0.5430041962522887,0.3450748888138715,0.44697726024177864,0.4401032388239907,-0.5309844431684017,1.2211342207961446,0.06094650098818195,12,24
post_covid,422,0.48761294907652786,0.5015643285604428,0.43147607536491955,0.24505746121749794,-0.34411323934548965,1.3472418964663753,0.08228873612286927,37,38
