outcome,cutoff,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,h,n_left,n_right
y_log_ccu,0.4,0.5646516170063607,0.7642050232455386,0.48204327136898,0.11288790732569466,-0.18058242762752996,1.7089924741186073,0.044753042551208516,54,68
y_log_owners,0.4,0.46282799592794177,0.5219508545266258,0.39648017325270424,0.1880192169402698,-0.2551360056328753,1.299037714686127,0.052790946645176466,61,75
y_log_ccu,0.7,2.20136661334503,2.485996968071916,1.0984401048820969,0.023622952473911718,0.33309392332860677,4.638900012815226,0.03843283472648831,68,79
y_log_owners,0.7,0.6250335136861764,0.7312374044054515,0.47928091093610914,0.1270853646463636,-0.2081359195068717,1.6706107283177747,0.03677561189708665,65,73
