h_mult,h,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,n_left,n_right
0.5,0.020895139012778372,1.6229881146043064,0.9888706578685591,2.0325937570093364,0.6266078945286806,-2.9949399010706985,4.972681216807817,41,36
0.75,0.03134270851916756,1.9150386575052152,1.796265099081017,1.5323628647795207,0.24110908074901527,-1.2071109271334646,4.799641125295499,54,61
1.0,0.041790278025556744,1.583662093348678,2.324718230397436,1.2947528042401726,0.07257535503117174,-0.21295063479554122,4.862387095590414,74,92
1.25,0.05223784753194593,1.3678694972810126,1.928164611586825,1.1298680603860725,0.08790765597222551,-0.2863360940520039,4.142665317225654,86,127
1.5,0.06268541703833512,1.1068306292415038,1.703769551101462,1.0451889767204858,0.10307894846129682,-0.3447632003089631,3.7523023025118873,93,162
