genre,n,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,h,n_left,n_right
Action,689,0.7381371166293792,0.8292875804038828,0.6251638817112531,0.18467006273716502,-0.39601111218543195,2.0545862729931974,0.05621752958035228,39,39
Adventure,493,0.7091572961236761,0.6794025932293608,0.753882923331576,0.3674796620800811,-0.7981807850602991,2.1569859715190205,0.06196705582599911,30,31
Casual,229,1.3635762307029387,1.2342055393678293,1.131409574675282,0.27533601089819637,-0.9833164787595039,3.4517275574951625,0.0365761117271024,8,4
Early Access,149,0.9898407685060124,1.2673563969984993,0.531237952898338,0.017048219905550145,0.22614914209697123,2.3085636519000277,0.05616784877310851,9,18
Free To Play,285,0.7242292999168054,0.9900236879344628,0.8387284938205163,0.23784657775144669,-0.6538539527612743,2.6339013286302,0.045052561606805805,10,21
Indie,525,0.8211029630562429,0.9469607225209115,0.561195567547857,0.09152669604924762,-0.15296237815640346,2.0468838231982263,0.03491640796682517,23,23
Massively Multiplayer,214,0.19111900982894303,0.3900978726681964,1.431324162612394,0.7852042689516032,-2.4152459362540477,3.1954416815904403,0.06181407381112512,10,20
RPG,394,1.519885490345492,1.7693963548836196,0.920112363444527,0.05447728188133411,-0.03399073919768192,3.572783448964921,0.04944243877651715,15,18
Simulation,342,0.8446569147671703,0.8781605583079948,1.3012099225454494,0.4997520053328599,-1.6721640262072395,3.428485142823229,0.06681535059607255,18,22
Sports,77,-5.4609509964935325,-5.596036301668532,8.210969090970373,0.4955350709135742,-21.68923999814205,10.497167394804984,0.06401284222753369,3,5
Strategy,350,0.2894969915135178,0.3270089173002637,0.4500514134319957,0.46746890380786776,-0.5550756442177938,1.2090934788183212,0.04656095493571003,11,18
